CollectionID,Site name,Sampling date,Latitude (°N),Longitude (°E),Elevation (m),Temp (°C),pH,Fluid flux (L/s),SPC (mS/cm),ORP (mV),DOsat (%),DO (ppm),TDS (ppm),Sal (%),TA (ppm),Sulfide (ppb),Fe2+ (ppb)
KF_230826,Kleifarvatn,2023-08-26,63.9082429,-21.9950715,138,66,5.9,NA,0.955,-44.1,21.8,1.99,480,0.05,36,,
KR_230828,Krysuvik,2023-08-28,63.8954748,-22-0570171,170,78,2.1,no flow,12.08,6.6,22,1.11,"6,000",0.66,950,"11,700","2,950"
GN_230828,Gunnuhver,2023-08-28,63.8194083,-22.6846433,17,72,2.14,no flow,13.98,34,10.7,0.58,"6,992",0.78,500,0,"4,060"
RJ_230829,Reykjandalur,2023-08-29,64.028994,-21.1996159,128,69.5,6.98,0.15,0.86,2.8,52.3,2.85,430,0.04,126,6,0
LH_230829,Laugaras,2023-08-29,64.1129167,-20.4958392,59,80,9.38,17.4,0.81,-2.6,29.4,1.57,408,0.04,150,169,39
LM_230830,Landmannalugar,2023-08-30,63.9915483,-19.0627467,597,60,6.18,406,1.09,10.5,14.9,0.73,545,0.05,255,131,"1,890"
SV_230831,Seljavallalaug,2023-08-31,63.5661483,-19.6079383,76,57.5,7.75,0.24,1.96,14.3,34.3,2,979,0.1,270,0,34
HS_230901,Hvammsvik,2023-09-01,63.5661483,-19.6079383,25,91.3,8.93,16.75,1.09,-22.2,7.1,0.4,544,0.05,78,"1,810",42
ES_230901,Englandshverir,2023-09-01,64.4905648,-21.179099,178,78,9.17,7,0.62,-3.1,37.8,2.03,314,0.02,114,382,28
AH_230901,Arhver,2023-09-01,64.6584216,-21.3639612,29,57,9.16,NA,0.46,2.6,97.6,7.13,232,0.02,75,420,343
BB_230902,Borgarbyggd,2023-09-02,64.6883977,-21.4028918,41,99.8,9.2,18,0.8,-0.3,12,0.64,401,0.04,109,"1,970",221
RD_230902,Raudamelsolkelda,2023-09-02,64.8956115,-22.3388239,107,10.53,4.53,no flow,0.18,13.6,45.4,4.7,90,0.01,27,0,178
RS_230903,Reykjaskola,2023-09-03,65.2577603,-21.100458,19,86.9,9.12,5,2.86,10.3,60.4,3.44,1430,0.14,36,47,930
RH_230904,Reykholar,2023-09-04,65.4456505,-22.2064709,12,82,9.4,NA,0.53,2.1,58.8,3.51,268,0.03,96,0,117
DS_230904,Drangsnevegur,2023-09-04,65.6479,-21.6429,11,79.6,8.99,2.1,0.964,5.3,38.6,2.29,482,0.046,63,350,0
HL_230905,Hellalaugur,2023-09-05,65.5776628,-23.1597213,10,39.5,9.99,4.8,0.261,-3.6,54,3.55,130,0.012,73.5,0,20
GL_230905,Gamla Laugin,2023-09-05,65.9290867,-22.428785,6,84.4,8.19,NA,6.365,14.7,49.3,3.21,3182,0.34,30,9,590
FL_230906,Fosslaug,2023-09-06,65.4941967,-19.3836483,49,68.5,10,NA,0.618,-0.8,53.6,3.39,309,0.029,132,64,10
SC_230907,Strytan vent cone,2023-09-07,65.828852,-18.111779,-23.5,72,9.5,NA,33.28,12.6,59.4,4.98,16.64,2.092,189,166,12
LG_230907,Laugar,2023-09-07,65.7225747,-17.3505889,163,53.5,10.4,0.4,0.511,21.7,96.6,5.66,256,0.024,159,0,15
LL_230908,Lon lake,2023-09-08,66.1020433,-16.9077,5,10.77,8.26,NA,0.231,8.2,126.9,13.43,116,0.011,72,19,76
MH_230908,Myvatn Hverir,2023-09-08,65.6415088,-16.8090939,369,85,,no flow,,,,,,,,0,
SL_230909,Selardal Slaug,2023-09-09,65.8023317,-14.9095317,63,53,10.12,4,0.378,-5.2,0,0,189,0.017,109.5,43,0
AJ_230909,Aerlaekjarsel,2023-09-09,66.1652014,-16.5584453,6,88,7.77,no flow,11.26,25,30.5,1.85,5629,0.624,42,0,23
GJ_230910,Grjotagja,2023-09-10,65.6264991,-16.882801,302,48.7,8.2,no flow,0.831,17,1.5,0.08,415,0.039,105,21,58
VD_230911,Vadlaheidargong,2023-09-11,65.6942367,-18.0543738,72,47.7,9.87,NA,0.392,-5.3,108.5,6.13,196,0.018,153,0,26
LS_230912,Laugafell South,2023-09-12,64.9271304,-18.282252,765,31,10.08,NA,0.24,-8.9,25.7,1.69,120,0.011,79.5,6,7
TH_230912,Thuridahver,2023-09-12,65.0302351,-18.3305599,757,43.2,10.03,NA,0.243,-11.9,26.7,1.41,121,0.011,100.5,0,0
SJ_230913,Sesseljubaer,2023-09-13,65.1127117,-18.431581,648,10.3,9.65,NA,0.052,15.7,74.9,8.35,26,0.002,90,10,14
LK_230913,Laugakvisl,2023-09-13,65.024425,-18.3319267,724,40.3,9.67,NA,0.12,1.8,44,2.65,60,0.005,36,0,5